schedule_season,schedule_week,schedule_playoff,score_home,score_away,team_favorite_id,spread_favorite,over_under_line,stadium_neutral,team_home_abbrev,team_away_abbrev,home_team_favored,point_diff,home_team_won
1979,6,False,24,17,NE,-13.0,40.0,False,NE,DET,1,7,1
1979,6,False,17,35,LAR,-4.0,39.0,False,NO,LAR,0,-18,0
1979,6,False,17,14,TB,-6.0,34.0,False,NYG,TB,0,3,1
1979,6,False,28,17,PHI,-1.0,37.0,False,PHI,WAS,1,11,1
1979,6,False,24,35,SEA,-5.0,43.0,False,SF,SEA,0,-11,0
1979,6,False,13,3,MIA,-1.0,39.0,False,LVR,MIA,0,10,1
1979,7,False,16,28,TEN,-6.0,36.0,False,IND,TEN,0,-12,0
1979,7,False,7,27,NE,-4.0,37.0,False,CHI,NE,0,-20,0
1979,7,False,34,10,PIT,-10.0,39.0,False,CIN,PIT,0,24,1
1979,7,False,9,13,CLE,-4.0,34.0,False,CLE,WAS,1,-4,0
1979,7,False,30,6,DAL,-3.0,39.0,False,DAL,LAR,1,24,1
1979,7,False,24,16,GB,-4.0,36.0,False,GB,DET,1,8,1
1979,7,False,10,24,DEN,-1.0,34.0,False,KC,DEN,0,-14,0
1979,7,False,17,7,MIA,-6.0,40.0,False,MIA,BUF,1,10,1
1979,7,False,32,16,NYG,-4.0,38.0,False,NYG,SF,1,16,1
1979,7,False,50,19,LVR,-10.0,37.0,False,LVR,ATL,1,31,1
1979,7,False,20,10,LAC,-10.0,44.0,False,LAC,SEA,1,10,1
1979,7,False,20,24,ARI,-3.0,38.0,False,ARI,PHI,1,-4,0
1979,7,False,14,42,TB,-8.0,38.0,False,TB,NO,1,-28,0
1979,7,False,14,7,NYJ,-4.0,42.0,False,NYJ,MIN,1,7,1
1979,8,False,13,14,BUF,-6.0,39.0,False,BUF,IND,1,-1,0
1979,8,False,28,27,CLE,-3.0,39.0,False,CLE,CIN,1,1,1
1979,8,False,22,13,DAL,-10.0,39.0,False,DAL,ARI,1,9,1
1979,8,False,17,21,KC,-6.0,36.0,False,KC,NYG,1,-4,0
1979,8,False,16,40,LAC,-1.0,37.0,False,LAR,LAC,0,-24,0
1979,8,False,30,27,MIN,-2.0,36.0,False,MIN,CHI,1,3,1
1979,8,False,28,13,NE,-5.0,38.0,False,NE,MIA,1,15,1
1979,8,False,17,7,NO,-7.0,42.0,False,NO,DET,1,10,1
1979,8,False,28,19,LVR,-3.0,42.0,False,NYJ,LVR,0,9,1
1979,8,False,20,15,ATL,-4.0,42.0,False,SF,ATL,0,5,1
1979,8,False,34,14,TEN,-2.0,42.0,False,SEA,TEN,0,20,1
1979,8,False,21,3,TB,-5.0,37.0,False,TB,GB,1,18,1
1979,8,False,17,7,PHI,-2.0,38.0,False,WAS,PHI,0,10,1
1979,8,False,42,7,PIT,-7.0,37.0,False,PIT,DEN,1,35,1
1979,9,False,45,22,LAC,-1.0,41.0,False,LVR,LAC,0,23,1
1979,9,False,31,26,NE,-4.0,37.0,False,IND,NE,0,5,1
1979,9,False,37,13,CIN,-3.0,38.0,False,CIN,PHI,1,24,1
1979,9,False,20,3,DEN,-7.0,34.0,False,DEN,KC,1,17,1
1979,9,False,17,20,BUF,-3.0,38.0,False,DET,BUF,0,-3,0
1979,9,False,27,24,TEN,-6.0,42.0,False,TEN,NYJ,1,3,1
1979,9,False,14,20,LAR,-6.0,37.0,False,LAR,NYG,1,-6,0
1979,9,False,27,7,MIA,-11.0,36.0,False,MIA,GB,1,20,1
1979,9,False,10,12,PICK,0.0,37.0,False,MIN,TB,0,-2,0
1979,9,False,14,3,PIT,-3.0,39.0,False,PIT,DAL,1,11,1
1979,9,False,27,28,CHI,-3.0,39.0,False,SF,CHI,0,-1,0
1979,9,False,20,38,ARI,-3.0,42.0,False,ARI,CLE,1,-18,0
1979,9,False,10,14,WAS,-6.0,40.0,False,WAS,NO,1,-4,0
1979,9,False,28,31,SEA,-2.0,42.0,False,ATL,SEA,0,-3,0
1979,10,False,17,14,ATL,-2.0,37.0,False,ATL,TB,1,3,1
1979,10,False,38,28,IND,-3.0,42.0,False,IND,CIN,1,10,1
1979,10,False,6,26,NE,-5.0,41.0,False,BUF,NE,0,-20,0
1979,10,False,35,7,CHI,-7.0,35.0,False,CHI,DET,1,28,1
